name,type,P [kW],pressure ratio,Δp [bar],η_s,Q [kW],kA [kW/K],UA [kW/K],ΔT_upper [K],ΔT_lower [K],ΔT_pinch [K],LMTD [K],pr_hot,pr_cold,ε_hot,ε_cold,P_in [kW],P_out [kW],η,P_in_total [kW],P_out_total [kW]
COMP1,Compressor,181.3866,3.388,-13.1605,0.8,,,,,,,,,,,,,,,,
COMP2,Compressor,313.2003,3.9759,-12.5749,0.8,,,,,,,,,,,,,,,,
IHX,HeatExchanger,,,,,-815.0016,74.1886,79.5091,20.501,5.0,5.0,10.9855,1.0,1.0,0.9564,0.8159,,,,,
SNK_HX,HeatExchanger,,,,,-1128.2019,225.6404,225.6404,5.0,5.0,5.0,5.0,1.0,1.0,0.9405,0.9954,,,,,
SRC_HX,HeatExchanger,,,,,-633.615,87.8377,69.9353,10.0,5.0,5.0,7.2135,1.0,1.0,0.6661,0.9344,,,,,
MOT1,Motor,,,,,,,,,,,,,,,,,,0.95,,
MOT2,Motor,,,,,,,,,,,,,,,,,,0.95,,
VAL1,Valve,,0.2952,13.1605,,,,,,,,,,,,,,,,,
VAL2,Valve,,0.2515,12.5749,,,,,,,,,,,,,,,,,
electricity distribution,PowerBus,,,,,,,,,,,,,,,,,,,,
