Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,227.4,191.2,36.27,0,84.05,6.502,13.06,47.01,62.16,7.497,4.663,12.16,38.35,32.24,57.41,90.33
COMP2,274.5,234.1,40.4,0,85.28,7.241,14.54,56.73,75.16,8.35,6.734,15.08,44.64,32.47,57.41,89.18
IHX,146.6,124.9,21.7,0,85.2,3.889,7.81,50.72,61.69,7.508,4.688,12.2,38.44,42.75,96.11,137.2
MOT1,239.4,227.4,11.97,0,95,2.146,4.309,43.54,47.01,2.177,0,2.177,0,7.952,50.52,57.41
MOT2,288.9,274.5,14.45,0,95,2.59,5.2,52.56,56.73,2.628,0,2.628,0,7.952,50.52,57.41
SNK_HX,290.4,280.1,10.33,0,96.44,1.852,3.719,111.4,118,3.965,3.576,7.542,47.42,9.799,106.6,117
SRC_HX,29.53,11.18,18.34,0,37.87,3.288,6.603,-1.499e-13,7.545,-9.312e-14,2.239,2.239,100,inf,-1.41e-12,187.4
VAL1,55.76,,55.76,0,,9.994,20.07,18.99,,18.99,0,18.99,0,inf,94.6,
VAL2,68.6,,68.6,0,,12.3,24.69,25.41,,25.41,0,25.41,0,inf,102.9,
TOT,557.9,280.1,277.8,0,50.2,49.8,100,96.1,118,47.86,21.9,69.76,31.4,144.6,47.85,117
