Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,220.7,186.1,34.57,0,84.33,6.19,13.53,44.96,56.71,7.043,3.702,10.75,34.45,26.15,56.59,84.65
COMP2,221.4,188.2,33.26,0,84.98,5.955,13.01,45.11,58.22,6.776,5.356,12.13,44.15,29.05,56.59,85.94
IHX,164.7,139.4,25.31,0,84.63,4.532,9.902,48.18,58.94,7.404,4.863,12.27,39.64,44.55,81.25,117.4
MOT1,232.3,220.7,11.61,0,95,2.08,4.544,42.25,44.96,2.113,0,2.113,0,6.405,50.52,56.59
MOT2,233.1,221.4,11.66,0,95,2.087,4.56,42.4,45.11,2.12,0,2.12,0,6.405,50.52,56.59
SNK_HX,273.1,261.9,11.21,0,95.89,2.008,4.387,98.32,104.7,4.038,3.794,7.832,48.45,11.08,100,111.1
SRC_HX,52.09,31.52,20.57,0,60.51,3.683,8.048,0,7.16,0,2.367,2.367,100,inf,0,63.1
VAL1,52.92,,52.92,0,,9.475,20.7,15.7,,15.7,0,15.7,0,inf,82.4,
VAL2,54.5,,54.5,0,,9.758,21.32,18.83,,18.83,0,18.83,0,inf,95.98,
TOT,558.5,261.9,255.6,41.03,46.89,45.77,100,84.65,104.7,38.74,20.08,58.82,34.14,163.9,42.1,111.1
