f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600a,R717/R600a,0.5,30.0,110.0,2.189,0.486,OK,1114.8,118.365,18.952,936.5,840.0,444.0,813.1,522.73,261.87,257.88,0.501
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.205,0.432,OK,1114.8,119.541,20.73,1024.4,918.9,485.5,853.5,536.32,261.87,274.45,0.488
R290,R600a,R290/R600a,0.4,40.0,110.0,2.222,0.435,OK,1114.8,120.181,22.021,1088.1,976.1,578.1,853.5,532.66,261.87,270.79,0.492
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.195,0.43,OK,1114.8,120.596,21.32,1053.5,945.0,431.5,1013.6,538.47,261.87,276.61,0.486
R717,R600,R717/R600,0.3,30.0,110.0,2.197,0.488,OK,1114.8,121.239,21.982,1086.2,974.4,407.7,1345.3,520.97,261.87,256.12,0.503
R290,R600a,R290/R600a,0.3,40.0,110.0,2.207,0.432,OK,1114.8,121.414,22.571,1115.3,1000.5,513.0,1013.6,535.92,261.87,274.05,0.489
R290,R600a,R290/R600a,0.5,40.0,110.0,2.188,0.428,OK,1114.8,121.442,21.811,1077.8,966.8,652.0,720.9,540.11,261.87,278.24,0.485
R717,R600a,R717/R600a,0.4,30.0,110.0,2.134,0.473,OK,1114.8,122.546,20.501,1013.0,908.7,413.0,988.8,532.9,261.87,271.03,0.491
R1270,R600,R1270/R600,0.5,30.0,110.0,2.086,0.462,OK,1114.8,123.265,18.98,937.9,841.3,644.9,901.3,544.98,261.87,283.11,0.481
R1270,R600,R1270/R600,0.4,30.0,110.0,2.132,0.473,OK,1114.8,123.81,21.613,1068.0,958.0,573.7,1098.1,533.34,261.87,271.47,0.491
R290,R600,R290/R600,0.4,30.0,110.0,2.142,0.475,OK,1114.8,124.672,22.873,1130.3,1013.8,690.2,1098.1,530.88,261.87,269.01,0.493
R717,R600,R717/R600,0.5,20.0,110.0,2.096,0.519,OK,1114.8,124.789,20.911,1033.3,926.9,578.1,1019.1,534.8,261.87,259.63,0.49
R1270,R600,R1270/R600,0.3,30.0,110.0,2.131,0.472,OK,1114.8,124.922,22.62,1117.7,1002.6,510.9,1345.3,533.56,261.87,271.7,0.491
R290,R600,R290/R600,0.3,30.0,110.0,2.139,0.474,OK,1114.8,125.811,23.786,1175.3,1054.3,612.9,1345.3,531.76,261.87,269.9,0.492
R290,R600,R290/R600,0.5,30.0,110.0,2.099,0.465,OK,1114.8,126.287,22.472,1110.4,996.1,777.7,901.3,541.45,261.87,279.58,0.484
R1270,R600a,R1270/R600a,0.5,30.0,110.0,2.016,0.446,OK,1114.8,126.336,18.534,915.8,821.5,620.9,813.1,563.32,261.87,301.45,0.465
R717,R600a,R717/R600a,0.3,30.0,110.0,2.056,0.455,OK,1114.8,127.358,21.457,1060.3,951.1,380.0,1207.7,552.57,261.87,290.7,0.474
R717,R600,R717/R600,0.4,20.0,110.0,2.061,0.51,OK,1114.8,127.538,21.848,1079.6,968.4,539.7,1278.0,543.89,261.87,269.01,0.481
R717,R600a,R717/R600a,0.5,20.0,110.0,2.011,0.497,OK,1114.8,128.524,20.329,1004.6,901.1,551.2,918.4,557.36,261.87,282.9,0.47
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.034,0.45,OK,1114.8,128.724,21.639,1069.3,959.1,544.9,988.8,558.64,261.87,296.77,0.469
R290,R600a,R290/R600a,0.4,30.0,110.0,2.042,0.452,OK,1114.8,129.779,23.067,1139.9,1022.5,655.2,988.8,556.25,261.87,294.38,0.471
R290,R600a,R290/R600a,0.5,30.0,110.0,2.029,0.449,OK,1114.8,130.123,22.735,1123.4,1007.7,748.5,813.1,559.86,261.87,297.99,0.468
R717,R600,R717/R600,0.3,20.0,110.0,2.003,0.495,V_OUT,1114.8,131.32,22.582,1115.9,1001.0,498.6,1615.2,559.46,261.87,285.07,0.468
R1270,R600a,R1270/R600a,0.3,30.0,110.0,2.003,0.443,OK,1114.8,131.325,22.544,1114.0,999.2,477.1,1207.7,567.12,261.87,305.26,0.462
R1270,R600,R1270/R600,0.5,20.0,110.0,1.952,0.482,OK,1114.8,131.723,20.31,1003.6,900.3,749.5,1019.1,574.04,261.87,300.1,0.456
R290,R600a,R290/R600a,0.3,30.0,110.0,2.009,0.444,OK,1114.8,132.433,23.902,1181.1,1059.5,572.0,1207.7,565.4,261.87,303.54,0.463
R1270,R600,R1270/R600,0.4,20.0,110.0,1.98,0.489,OK,1114.8,133.043,23.005,1136.8,1019.7,660.6,1278.0,566.06,261.87,291.88,0.463
R717,R600a,R717/R600a,0.4,20.0,110.0,1.95,0.481,OK,1114.8,133.552,21.941,1084.2,972.5,505.3,1148.3,574.55,261.87,300.63,0.456
R290,R600,R290/R600,0.4,20.0,110.0,1.985,0.49,OK,1114.8,134.255,24.413,1206.3,1082.1,801.7,1278.0,564.61,261.87,290.38,0.464
R290,R600,R290/R600,0.5,20.0,110.0,1.959,0.483,OK,1114.8,135.114,23.854,1178.7,1057.3,913.0,1019.1,572.13,261.87,298.14,0.458
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.883,0.464,OK,1114.8,135.169,19.745,975.7,875.2,715.9,918.4,595.0,261.87,321.69,0.44
R1270,R600,R1270/R600,0.3,20.0,110.0,1.962,0.484,V_OUT,1114.8,135.686,24.559,1213.6,1088.6,580.8,1615.2,571.22,261.87,297.2,0.458
R290,R600,R290/R600,0.3,20.0,110.0,1.966,0.485,V_OUT,1114.8,136.803,25.825,1276.1,1144.7,702.2,1615.2,570.05,261.87,295.99,0.459
R717,R600a,R717/R600a,0.3,20.0,110.0,1.868,0.46,OK,1114.8,138.302,21.805,1077.5,966.5,456.1,1444.5,599.92,261.87,326.75,0.437
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.882,0.464,OK,1114.8,138.533,22.835,1128.4,1012.2,619.9,1148.3,595.46,261.87,322.16,0.44
R290,R600a,R290/R600a,0.5,20.0,110.0,1.889,0.465,OK,1114.8,139.269,23.952,1183.6,1061.7,871.7,918.4,593.13,261.87,319.76,0.442
R290,R600a,R290/R600a,0.4,20.0,110.0,1.886,0.465,OK,1114.8,139.92,24.4,1205.7,1081.5,751.9,1148.3,594.04,261.87,320.7,0.441
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.834,0.451,OK,1114.8,142.905,24.173,1194.5,1071.5,532.7,1444.5,610.76,261.87,337.9,0.429
R290,R600a,R290/R600a,0.3,20.0,110.0,1.838,0.452,OK,1114.8,144.236,25.631,1266.5,1136.1,643.6,1444.5,609.64,261.87,336.75,0.43
