Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,277.6,234.1,43.57,0,84.31,7.734,14.45,54.69,64.32,8.583,5.059,13.64,37.08,17.62,54.72,76.34
COMP2,247.6,210.4,37.23,0,84.97,6.608,12.35,48.78,58.51,7.333,5.82,13.15,44.25,19.95,54.72,77.25
IHX,153.1,126.8,26.3,0,82.82,4.669,8.726,76.13,83.23,13.08,4.341,17.42,24.92,32.01,138.1,182.4
MOT1,292.2,277.6,14.61,0,95,2.594,4.847,53.15,54.69,2.658,0,2.658,0,2.887,50.52,54.72
MOT2,260.7,247.6,13.03,0,95,2.314,4.323,47.41,48.78,2.371,0,2.371,0,2.887,50.52,54.72
SNK_HX,273,261.9,11.18,0,95.91,1.985,3.708,116.8,121.8,4.783,3.78,8.563,44.15,8.691,118.8,129.2
SRC_HX,19.16,0.00355,19.15,0,0.01853,3.4,6.353,40.22,44.44,40.21,2.205,42.42,5.199,5.961e+05,583.2,3.477e+06
VAL1,80.97,8.737,72.24,0,10.79,12.82,23.96,32.63,40.22,29.11,0,29.11,0,1042,111.9,1279
VAL2,64.14,,64.14,0,,11.39,21.28,24.93,,24.93,0,24.93,0,inf,108,
TOT,563.3,261.9,301.5,0,46.49,53.51,100,100.6,121.8,53.82,21.2,75.02,28.27,160.5,49.59,129.2
