Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,185.9,156.4,29.46,0,84.15,6.722,15,36.82,43.84,5.834,3.334,9.168,36.37,19.08,55.02,77.85
COMP2,153.1,129.4,23.7,0,84.52,5.409,12.07,30.33,38.8,4.694,5.496,10.19,53.94,27.91,55.02,83.26
IHX,173.9,147.2,26.71,0,84.64,6.094,13.6,39.76,47.43,6.106,4.322,10.43,41.45,40.93,63.51,89.5
MOT1,195.7,185.9,9.785,0,95,2.233,4.984,35.59,36.82,1.78,0,1.78,0,3.445,50.52,55.02
MOT2,161.2,153.1,8.06,0,95,1.839,4.106,29.32,30.33,1.466,0,1.466,0,3.445,50.52,55.02
SNK_HX,253.6,241.9,11.76,0,95.36,2.684,5.991,79.13,84.24,3.669,3.639,7.308,49.79,11.64,86.66,96.75
SRC_HX,81.3,56.39,24.91,0,69.36,5.685,12.69,4.606e-14,5.657,1.411e-14,2.535,2.535,100,inf,1.574e-13,27.86
VAL1,38.94,,38.94,0,,8.886,19.83,9.74,,9.74,0,9.74,0,inf,69.49,
VAL2,23,,23,0,,5.25,11.72,7.098,,7.098,0,7.098,0,inf,85.71,
TOT,438.2,241.9,196.3,0,55.2,44.8,100,64.91,84.24,29.08,19.33,48.41,39.92,135.1,41.15,96.75
