f1,f2,pair,ls,T_src,T_steam,status_4state,status_modern,reason,reason_modern,no_solve_class,COP,eta_Lorenz,Q_H_kW,m_steam [kg/h],T_evap_c1 [°C],T_cond_c1 [°C],T_disch_c1 [°C],T_evap_c2 [°C],T_cond_c2 [°C],T_disch_c2 [°C],p_low_c1 [bar],p_high_c1 [bar],p_low_c2 [bar],p_high_c2 [bar],V_dot_c1_target [m3/h],V_dot_c2_target [m3/h],W_comp1 [kW],W_comp2 [kW],W_el [kW],label_c1,label_c2,scale_k,p_OK_c1,p_OK_c2,T_OK_c1,T_OK_c2,V_OK_c1,V_OK_c2,p_OK_c1_modern,p_OK_c2_modern,T_OK_c1_modern,T_OK_c2_modern,V_OK_c1_modern,V_OK_c2_modern,feasible,status,m_steam [kg/s]
R290,R600a,R290/R600a,0.3,20,120.0,HARD,V_ONLY,"p_c2, V_c1, V_c2",V_c2,,1.556,0.415,1101.06,1800.0,5.0,60.0,76.3,50.0,125.0,127.6,5.51,21.17,6.85,30.88,557.8,1632.4,145.56,526.84,707.79,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,False,False,ok,0.5
R290,R600a,R290/R600a,0.3,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.701,0.411,1101.06,1800.0,15.0,67.0,81.7,57.0,125.0,127.9,7.32,24.38,8.1,30.88,503.0,1363.5,153.39,461.54,647.3,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,40,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.754,0.401,1101.06,1800.0,15.0,74.0,89.6,64.0,125.0,128.3,7.32,27.95,9.52,30.88,581.8,1142.9,196.7,399.68,627.77,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.384,1101.06,1800.0,15.0,81.0,97.5,71.0,125.0,128.7,7.32,31.91,11.11,30.88,670.8,960.9,247.89,341.36,620.26,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.3,60,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.755,0.357,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,129.1,7.32,36.3,12.89,30.88,774.7,810.2,309.51,286.57,627.45,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,20,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.631,0.436,1101.06,1800.0,5.0,70.0,87.5,60.0,125.0,128.0,5.51,25.87,8.69,30.88,691.6,1263.7,206.57,434.6,674.92,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,30,120.0,HARD,OK,"p_c2, V_c1, V_c2",,,1.764,0.426,1101.06,1800.0,15.0,76.0,91.9,66.0,125.0,128.4,7.32,29.04,9.96,30.88,606.1,1087.3,210.44,382.66,624.31,R290,R600a,1.0,True,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.775,0.406,1101.06,1800.0,15.0,82.0,98.7,72.0,125.0,128.7,7.32,32.51,11.36,30.88,684.6,937.6,255.97,333.32,620.31,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,50,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.755,0.379,1101.06,1800.0,15.0,88.0,105.5,78.0,125.0,129.1,7.32,36.3,12.89,30.88,774.7,810.2,309.51,286.57,627.45,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.4,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.5,20,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.655,0.442,1101.06,1800.0,5.0,80.0,98.6,70.0,125.0,128.6,5.51,31.32,10.88,30.88,846.5,984.8,282.54,349.47,665.28,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,30,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.769,0.427,1101.06,1800.0,15.0,85.0,102.1,75.0,125.0,128.9,7.32,34.36,12.11,30.88,727.9,871.4,281.59,309.62,622.33,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,40,120.0,HARD,OK,"p_c1, p_c2, V_c1, V_c2",,,1.74,0.398,1101.06,1800.0,15.0,90.0,107.8,80.0,125.0,129.2,7.32,37.64,13.44,30.88,808.2,772.1,329.59,271.55,632.78,R290,R600a,1.0,False,False,True,True,False,False,True,True,True,True,True,True,False,ok,0.5
R290,R600a,R290/R600a,0.5,50,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,convergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,TESPy did not converge,
R290,R600a,R290/R600a,0.5,60,120.0,NOSOLVE,NOSOLVE,no_solve,no_solve,Pcrit_c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,f1=R290: p_cond_c1=41.2 bar ≥ 0.95·p_crit=40.4 bar,
