Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,172.7,144.6,28.1,0,83.73,5.094,10.16,35.73,47.59,5.813,3.634,9.447,38.46,33.18,57.46,91.4
COMP2,309.7,263.1,46.66,0,84.94,8.456,16.87,64.07,84.8,9.651,7.079,16.73,42.31,32.36,57.46,89.54
IHX,122.3,99.22,23.05,0,81.15,4.178,8.334,44.13,55.48,8.319,4.61,12.93,35.65,54.94,100.2,155.3
MOT1,181.8,172.7,9.091,0,95,1.648,3.287,33.07,35.73,1.654,0,1.654,0,8.043,50.52,57.46
MOT2,326,309.7,16.3,0,95,2.954,5.893,59.3,64.07,2.965,0,2.965,0,8.043,50.52,57.46
SNK_HX,273,261.9,11.11,0,95.93,2.014,4.018,106.7,113.7,4.344,3.745,8.089,46.3,11.08,108.6,120.6
SRC_HX,30.64,10.64,20,0,34.74,3.625,7.23,1.249e-13,8.104,8.151e-14,2.253,2.253,100,inf,1.132e-12,211.5
VAL1,33,,33,0,,5.98,11.93,11.56,,11.56,0,11.56,0,inf,97.34,
VAL2,89.3,,89.3,0,,16.18,32.28,33.58,,33.58,0,33.58,0,inf,104.5,
TOT,551.7,261.9,276.6,13.26,47.46,50.13,100,92.37,113.7,46.31,21.32,67.63,31.53,159.3,46.5,120.6
