Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,208.7,175.6,33.03,0,84.17,7.502,16.65,41.4,49.71,6.553,3.965,10.52,37.7,20.09,55.11,78.62
COMP2,132.5,112.1,20.49,0,84.54,4.654,10.33,26.29,34.07,4.065,5.08,9.145,55.55,29.58,55.11,84.47
IHX,185.3,160,25.28,0,86.35,5.742,12.74,43.7,51.75,5.963,4.721,10.68,44.19,37.13,65.52,89.85
MOT1,219.6,208.7,10.98,0,95,2.494,5.535,39.95,41.4,1.998,0,1.998,0,3.621,50.52,55.11
MOT2,139.5,132.5,6.976,0,95,1.584,3.516,25.38,26.29,1.269,0,1.269,0,3.621,50.52,55.11
SNK_HX,253.7,241.9,11.78,0,95.36,2.676,5.938,80.09,85.29,3.719,3.654,7.373,49.55,11.69,87.7,97.95
SRC_HX,81.12,56.34,24.78,0,69.46,5.628,12.49,-4.801e-14,5.81,-1.466e-14,2.547,2.547,100,inf,-1.644e-13,28.65
VAL1,46.7,,46.7,0,,10.61,23.54,11.82,,11.82,0,11.82,0,inf,70.31,
VAL2,18.38,,18.38,0,,4.175,9.266,5.737,,5.737,0,5.737,0,inf,86.69,
TOT,440.3,241.9,198.4,0,54.94,45.06,100,65.33,85.29,29.44,19.97,49.4,40.41,137.7,41.22,97.95
