Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,175.1,150.2,24.88,0,85.79,5.029,14.14,35.29,40.23,5.015,2.983,7.998,37.29,13.99,56,74.4
COMP2,142.9,120.9,22.01,0,84.59,4.45,12.51,27.95,34.24,4.306,4.566,8.872,51.47,22.53,54.33,78.7
IHX,192.7,158.4,34.27,0,82.21,6.928,19.48,41.38,47.04,7.361,2.97,10.33,28.75,38.28,59.65,82.49
MOT1,184.3,175.1,9.215,0,95,1.863,5.238,33.52,35.29,1.676,1.049,2.726,38.5,5.29,50.52,56
MOT2,150.4,142.9,7.52,0,95,1.52,4.275,27.36,27.95,1.368,0,1.368,0,2.16,50.52,54.33
SNK_HX,253.8,241.9,11.9,0,95.31,2.406,6.765,73.93,78.61,3.467,3.75,7.217,51.96,11.57,80.92,90.28
SRC_HX,83.1,56.88,26.22,0,68.45,5.3,14.9,3.747e-14,4.478,1.182e-14,2.418,2.418,100,inf,1.253e-13,21.87
VAL1,14.4,,14.4,0,,2.91,8.183,3.33,,3.33,0,3.33,0,inf,64.25,
VAL2,25.5,,25.5,0,,5.155,14.5,7.357,,7.357,0,7.357,0,inf,80.13,
TOT,494.7,241.9,175.9,76.9,48.89,35.56,100,60.88,78.61,21.65,17.74,39.39,45.03,164.1,34.18,90.28
