Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,213.3,179.9,33.5,0,84.3,5.838,11.4,44.58,59.76,7,4.023,11.02,36.5,34.03,58.05,92.29
COMP2,286.6,244.7,41.86,0,85.39,7.296,14.25,59.89,79.67,8.748,5.848,14.6,40.07,33.03,58.05,90.43
IHX,155.8,135,20.75,0,86.68,3.616,7.064,50.11,63.15,6.673,6.134,12.81,47.9,45.38,89.34,129.9
MOT1,224.6,213.3,11.23,0,95,1.957,3.823,40.85,44.58,2.042,0,2.042,0,9.149,50.52,58.05
MOT2,301.7,286.6,15.08,0,95,2.629,5.135,54.87,59.89,2.743,0,2.743,0,9.149,50.52,58.05
SNK_HX,290.9,280.1,10.85,0,96.27,1.89,3.693,110.4,118,4.116,4.014,8.13,49.38,11.05,105.4,117
SRC_HX,47.55,30.31,17.24,0,63.74,3.005,5.871,9.992e-14,8.013,3.623e-14,2.273,2.273,100,inf,5.837e-13,73.43
VAL1,54.37,,54.37,0,,9.476,18.51,17.66,,17.66,0,17.66,0,inf,90.23,
VAL2,88.84,,88.84,0,,15.48,30.25,32.43,,32.43,0,32.43,0,inf,101.4,
TOT,573.8,280.1,293.7,0,48.81,51.19,100,95.71,118,49,22.29,71.29,31.27,152.6,46.34,117
