Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,197.2,170,27.24,0,86.19,5.632,12.28,40.32,47.83,5.569,3.769,9.338,40.36,18.63,56.79,78.17
COMP2,231.6,196.6,34.97,0,84.9,7.229,15.76,46.01,57.35,6.948,6.534,13.48,48.47,24.64,55.19,81.03
IHX,162.3,124.6,37.71,0,76.77,7.796,17,48.18,55.72,11.19,2.354,13.55,17.37,50.63,82.46,124.2
MOT1,207.6,197.2,10.38,0,95,2.146,4.679,37.76,40.32,1.888,1.134,3.022,37.52,6.78,50.52,56.79
MOT2,243.8,231.6,12.19,0,95,2.52,5.495,44.34,46.01,2.217,0,2.217,0,3.778,50.52,55.19
SNK_HX,272.9,261.9,11,0,95.97,2.274,4.959,96.61,101.7,3.894,3.573,7.468,47.85,9.685,98.35,107.9
SRC_HX,32.32,9.453,22.87,0,29.24,4.729,10.31,-1.589e-13,5.375,-1.124e-13,2.232,2.232,100,inf,-1.365e-12,157.9
VAL1,17.11,,17.11,0,,3.538,7.715,5.025,,5.025,0,5.025,0,inf,81.56,
VAL2,48.34,,48.34,0,,9.995,21.79,16.46,,16.46,0,16.46,0,inf,94.58,
TOT,483.7,261.9,221.8,0,54.14,45.86,100,82.1,101.7,37.65,19.6,57.24,34.23,128.8,47.15,107.9
