Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,215.6,186.8,28.77,0,86.65,5.109,14.52,43.69,49.66,5.83,2.912,8.742,33.31,13.67,56.29,73.84
COMP2,167.4,142.9,24.55,0,85.34,4.359,12.38,32.99,40.25,4.837,4.648,9.485,49,22,54.74,78.26
IHX,216.7,180.3,36.41,0,83.2,6.465,18.37,48.69,55.24,8.18,2.677,10.86,24.66,36.37,62.4,85.09
MOT1,226.9,215.6,11.35,0,95,2.015,5.724,41.28,43.69,2.064,1.201,3.265,36.79,5.835,50.52,56.29
MOT2,176.2,167.4,8.812,0,95,1.565,4.445,32.06,32.99,1.603,0,1.603,0,2.925,50.52,54.74
SNK_HX,290.5,280.1,10.43,0,96.41,1.852,5.261,85.96,90.74,3.086,3.67,6.756,54.32,9.491,82.2,90
SRC_HX,75.1,53.51,21.59,0,71.25,3.834,10.89,1.171e-14,4.596,3.366e-15,2.299,2.299,100,inf,4.331e-14,23.86
VAL1,23.61,,23.61,0,,4.193,11.91,5.571,,5.571,0,5.571,0,inf,65.54,
VAL2,32.7,,32.7,0,,5.807,16.5,9.527,,9.527,0,9.527,0,inf,80.92,
TOT,563.2,280.1,198.2,84.89,49.73,35.2,100,73.33,90.74,25.81,17.41,43.22,40.28,148.8,36.17,90
