Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,265.7,223.8,41.92,0,84.22,8.65,17.27,53.5,65.99,8.442,4.596,13.04,35.25,23.33,55.93,81.9
COMP2,163.7,138.3,25.34,0,84.52,5.228,10.44,32.95,43.44,5.102,5.721,10.82,52.86,31.83,55.93,87.24
IHX,169.2,140.8,28.33,0,83.25,5.846,11.67,53.04,60.19,8.884,1.82,10.7,17,36.31,87.1,118.7
MOT1,279.7,265.7,13.98,0,95,2.885,5.76,50.87,53.5,2.544,0,2.544,0,5.171,50.52,55.93
MOT2,172.3,163.7,8.614,0,95,1.777,3.548,31.33,32.95,1.567,0,1.567,0,5.171,50.52,55.93
SNK_HX,253.6,241.9,11.75,0,95.37,2.425,4.841,94.52,100.4,4.38,3.631,8.012,45.33,11.34,103.5,115.3
SRC_HX,32.7,9.351,23.35,0,28.6,4.818,9.618,-2.748e-13,6.774,-1.962e-13,2.382,2.382,100,inf,-2.334e-12,201.2
VAL1,63.97,,63.97,0,,13.2,26.35,19.72,,19.72,0,19.72,0,inf,85.62,
VAL2,25.53,,25.53,0,,5.268,10.52,9.122,,9.122,0,9.122,0,inf,99.24,
TOT,484.7,241.9,242.8,0,49.9,50.1,100,82.21,100.4,41.18,18.15,59.33,30.59,144.6,47.12,115.3
