label,fluid,from,to,m [kg/s],T [°C],p [bar],h [kJ/kg],s [kJ/(kg·K)],v [m³/kg],rho [kg/m³],V_dot [m³/h],e_T [J/kg],e_M [J/kg],e_PH [J/kg]
11,water (source),source inlet,SRC_HX,7.70303,40.0,3.0,167.792,0.5723,0.007763,128.82,215.27,2727.85,199.02,2926.88
12,water (source),SRC_HX,source outlet,7.70303,20.01,3.0,84.236,0.2966,0.007716,129.598,213.98,0.0,199.02,199.02
21,R1270,SRC_HX,COMP1,3.48806,20.01,8.9222,599.927,2.389,0.191806,5.214,2408.51,0.0,118692.31,118692.31
22,R1270,COMP1,IHX,3.48806,103.79,37.2055,688.109,2.4362,0.047842,20.902,600.75,62812.08,130229.76,193041.84
22c,R1270,IHX,cc1,3.48806,75.0,37.2055,415.401,1.6703,0.00884,113.128,111.0,14645.71,130229.76,144875.47
23,R1270,cc1,VAL1,3.48806,75.0,37.2055,415.401,1.6703,0.00884,113.128,111.0,14645.71,130229.76,144875.47
24,R1270,VAL1,SRC_HX,3.48806,15.01,8.9222,415.401,1.7489,0.096999,10.309,1218.02,3115.88,118692.31,121808.19
31,R600a,IHX,COMP2,5.44647,75.0,10.8754,656.978,2.3845,0.198191,5.046,3886.0,51110.0,44831.3,95941.29
32,R600a,COMP2,SNK_HX,5.44647,107.82,21.7777,689.473,2.4016,0.088272,11.329,1730.78,76640.96,46780.02,123420.98
32c,R600a,SNK_HX,cc2,5.44647,105.0,21.7777,482.329,1.8539,0.013042,76.673,255.73,30054.47,46780.02,76834.49
33,R600a,cc2,VAL2,5.44647,105.0,21.7777,482.329,1.8539,0.013042,76.673,255.73,30054.47,46780.02,76834.49
34,R600a,VAL2,IHX,5.44647,70.0,10.8754,482.329,1.8757,0.08238,12.139,1615.25,25593.02,44831.3,70424.32
41,water (sink),sink inlet,SNK_HX,0.5,100.0,1.0142,419.166,1.3072,0.000522,1916.698,0.94,38857.9,0.09,38858.0
42,water (sink),SNK_HX,sink outlet,0.5,100.0,1.0142,2675.57,7.3541,0.835883,1.196,1504.59,522610.54,0.09,522610.64
