Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,218.4,183.8,34.65,0,84.13,6.996,15.98,43.56,52.67,6.912,3.841,10.75,35.72,20.9,55.4,79.61
COMP2,163.7,138.3,25.34,0,84.52,5.116,11.69,32.64,42.21,5.054,5.721,10.78,53.1,29.32,55.4,84.77
IHX,168.1,140.8,27.26,0,83.79,5.503,12.57,45.57,53.82,7.389,4.103,11.49,35.7,40.94,75.31,106.1
MOT1,229.9,218.4,11.5,0,95,2.321,5.302,41.82,43.56,2.091,0,2.091,0,4.175,50.52,55.4
MOT2,172.3,163.7,8.614,0,95,1.739,3.973,31.33,32.64,1.567,0,1.567,0,4.175,50.52,55.4
SNK_HX,253.6,241.9,11.75,0,95.37,2.373,5.422,87.49,92.91,4.055,3.631,7.686,47.25,11.35,95.82,106.7
SRC_HX,56.49,32.21,24.28,0,57.03,4.901,11.2,-2.498e-14,6.144,-1.074e-14,2.457,2.457,100,inf,-1.228e-13,52.98
VAL1,47.88,,47.88,0,,9.666,22.08,13.24,,13.24,0,13.24,0,inf,76.81,
VAL2,25.53,,25.53,0,,5.155,11.78,8.541,,8.541,0,8.541,0,inf,92.92,
TOT,495.3,241.9,216.8,36.63,48.83,43.77,100,73.15,92.91,32.02,19.75,51.77,38.16,160.1,41.03,106.7
