Connection,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],E [kW],e^PH [kJ/kg],e^T [kJ/kg],e^M [kJ/kg],C^T [EUR/h],C^M [EUR/h],C^TOT [EUR/h],c^T [EUR/GJ_ex],c^M [EUR/GJ_ex],c^TOT [EUR/GJ_ex]
11,14.95,20,3,84.19,296.4,2.975,0.199,-1.589e-10,0.199,0,-0,0,-0,-0,0
12,14.95,10,3,42.31,151.1,13.91,0.9304,0.7313,0.199,33.34,5.956e-17,33.34,847.1,5.561e-15,665.9
21,2.983,10,6.762,590.7,2404,313.4,105,0.2988,104.7,0.7952,84.2,84.99,247.8,74.85,75.34
22,2.983,95.15,30.8,685.8,2456,551.5,184.8,55.84,129,44.89,103.7,148.6,74.85,74.85,74.85
22c,2.983,65,30.8,380.9,1574,413.2,138.5,9.501,129,7.638,103.7,111.3,74.85,74.85,74.85
23,2.983,65,30.8,380.9,1574,413.2,138.5,9.501,129,7.638,103.7,111.3,74.85,74.85,74.85
24,2.983,5,6.762,380.9,1650,346.9,116.3,11.54,104.7,30.7,84.2,114.9,247.8,74.85,92.01
31,4.503,65,6.382,680.6,2484,341,75.74,46.33,29.4,73.91,36.8,110.7,98.4,77.21,90.17
32,4.503,105.9,16.8,729.1,2509,525.6,116.7,85.51,31.2,122.9,39.05,162,88.69,77.21,85.62
32c,4.503,105,16.8,478.5,1847,271.9,60.39,29.19,31.2,41.97,39.05,81.02,88.69,77.21,82.76
33,4.503,105,16.8,478.5,1847,271.9,60.39,29.19,31.2,41.97,39.05,81.02,88.69,77.21,82.76
34,4.503,60,6.382,478.5,1878,231.5,51.41,22.01,29.4,31.64,36.8,68.44,88.69,77.21,82.12
41,0.5,100,1.014,419.2,1307,19.43,38.86,38.86,9.316e-05,0,0,0,0,0,0
42,0.5,100,1.014,2676,7354,261.3,522.6,522.6,9.316e-05,85.19,0,118.5,90.56,0,126
